iata,Year,Month,average_delay,volumne,airport,city,state,lat,long
ABQ,1988,1,-1.0,7,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ALB,1988,1,47.0,1,Albany Cty,Albany,NY,42.74811944,-73.80297861
ATL,1988,1,24.4210526316,19,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AUS,1988,1,-1.0,3,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
AVP,1988,1,3.0,1,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,41.33814944,-75.7242675
BDL,1988,1,-13.0,2,Bradley International,Windsor Locks,CT,41.93887417,-72.68322833
BHM,1988,1,10.5,2,Birmingham International,Birmingham,AL,33.56294306,-86.75354972
BNA,1988,1,3.5,2,Nashville International,Nashville,TN,36.12447667,-86.67818222
BOS,1988,1,2.0,11,Gen Edw L Logan Intl,Boston,MA,42.3643475,-71.00517917
BUF,1988,1,-13.0,1,Buffalo Niagara Intl,Buffalo,NY,42.94052472,-78.73216667
BWI,1988,1,6.0,4,Baltimore-Washington International,Baltimore,MD,39.17540167,-76.66819833
BZN,1988,1,24.0,2,Gallatin ,Bozeman,MT,45.77690139,-111.1530072
CAK,1988,1,7.0,1,Akron-Canton Regional,Akron,OH,40.91631194,-81.44246556
CHA,1988,1,-6.0,1,Lovell ,Chattanooga,TN,35.03526833,-85.20378778
CHO,1988,1,9.0,1,Charlottesville-Albermarle,Charlottesville,VA,38.13863889,-78.45286111
CHS,1988,1,-3.0,2,Charleston AFB/International,Charleston,SC,32.89864639,-80.04050583
CLE,1988,1,5.5,4,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-81.84939667
CLT,1988,1,10.0,6,Charlotte/Douglas International,Charlotte,NC,35.21401111,-80.94312583
CMH,1988,1,-3.0,1,Port Columbus Intl,Columbus,OH,39.99798528,-82.89188278
COS,1988,1,8.0,1,City of Colorado Springs Muni,Colorado Springs,CO,38.80580556,-104.70025
CVG,1988,1,6.75,4,Cincinnati Northern Kentucky Intl,Covington,KY,39.04614278,-84.6621725
DAB,1988,1,2.0,1,Daytona Beach International,Daytona Beach,FL,29.17991667,-81.05805556
DAL,1988,1,3.0,4,Dallas Love ,Dallas,TX,32.84711389,-96.85177222
DAY,1988,1,0.666666666667,3,James M Cox Dayton Intl,Dayton,OH,39.90237583,-84.219375
DCA,1988,1,15.2,10,Ronald Reagan Washington National,Arlington,VA,38.85208333,-77.03772222
DEN,1988,1,25.4285714286,7,Denver Intl,Denver,CO,39.85840806,-104.6670019
DFW,1988,1,7.33333333333,12,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
DSM,1988,1,0.0,1,Des Moines International,Des Moines,IA,41.53493306,-93.66068222
DTW,1988,1,-5.22222222222,9,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583
ELP,1988,1,1.0,2,El Paso International,El Paso,TX,31.80666667,-106.3778056
EWR,1988,1,21.1428571429,7,Newark Intl,Newark,NJ,40.69249722,-74.16866056
FAT,1988,1,3.0,1,Fresno Yosemite International,Fresno,CA,36.77619444,-119.7181389
FLL,1988,1,14.2857142857,7,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-80.15275
FSD,1988,1,17.0,2,Joe Foss ,Sioux Falls,SD,43.58135111,-96.74170028
FWA,1988,1,21.5,2,Fort Wayne International,Fort Wayne,IN,40.97846583,-85.19514639
GEG,1988,1,7.0,1,Spokane Intl,Spokane,WA,47.61985556,-117.5338425
GRR,1988,1,1.0,1,Kent County International,Grand Rapids,MI,42.88081972,-85.52276778
GSP,1988,1,3.0,1,Greenville-Spartanburg,Greer,SC,34.89566722,-82.21885833
HOU,1988,1,5.25,4,William P Hobby,Houston,TX,29.64541861,-95.27888889
HRL,1988,1,7.0,1,Valley International,Harlingen,TX,26.22850611,-97.65439389
IAD,1988,1,-3.5,6,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
IAH,1988,1,5.0,5,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
ICT,1988,1,19.0,1,Wichita Mid-Continent,Wichita,KS,37.64995889,-97.43304583
IDA,1988,1,-3.0,1,Idaho Falls Regional,Idaho Falls,ID,43.51455556,-112.0701667
ILM,1988,1,27.0,1,Wilmington International,Wilmington,NC,34.27061111,-77.90255556
IND,1988,1,13.0,2,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
JAN,1988,1,10.0,2,Jackson International,Jackson,MS,32.31116667,-90.07588889
JAX,1988,1,0.5,2,Jacksonville International,Jacksonville,FL,30.49405556,-81.68786111
JFK,1988,1,94.5,4,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,1988,1,2.16666666667,6,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,1988,1,15.9047619048,21,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LGA,1988,1,12.8571428571,7,LaGuardia,New York,NY,40.77724306,-73.87260917
LGB,1988,1,0.0,1,Long Beach (Daugherty ),Long Beach,CA,33.81772222,-118.1516111
LIT,1988,1,2.0,1,Adams ,Little Rock,AR,34.72939611,-92.22424556
MCI,1988,1,6.0,2,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,1988,1,25.8,5,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDT,1988,1,1.5,2,Harrisburg Intl,Harrisburg,PA,40.19349528,-76.76340361
MDW,1988,1,-1.0,3,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEM,1988,1,27.0833333333,12,Memphis International,Memphis,TN,35.04241667,-89.97666667
MGM,1988,1,13.0,1,Montgomery Regional Apt,Montgomery,AL,32.30064417,-86.39397611
MIA,1988,1,9.14285714286,7,Miami International,Miami,FL,25.79325,-80.29055556
MOB,1988,1,-1.0,1,Mobile Regional,Mobile,AL,30.69141667,-88.24283333
MSN,1988,1,23.0,1,Dane County Regional,Madison,WI,43.13985778,-89.33751361
MSP,1988,1,4.5,8,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
MSY,1988,1,7.5,2,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778
OAJ,1988,1,19.0,1,Albert J Ellis,Jacksonville,NC,34.82916444,-77.61213778
OAK,1988,1,15.0,1,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.2207167
OKC,1988,1,17.5,4,Will Rogers World,Oklahoma City,OK,35.39308833,-97.60073389
OMA,1988,1,2.33333333333,3,Eppley Airfield,Omaha,NE,41.30251861,-95.89417306
ONT,1988,1,7.4,5,Ontario International,Ontario,CA,34.056,-117.6011944
ORD,1988,1,12.1111111111,27,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417
PBI,1988,1,42.5,4,Palm Beach International,West Palm Beach,FL,26.68316194,-80.09559417
PDX,1988,1,1.75,4,Portland Intl,Portland,OR,45.58872222,-122.5975
PHL,1988,1,25.4444444444,9,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083
PHX,1988,1,1.76923076923,13,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556
PIT,1988,1,5.30769230769,13,Pittsburgh International,Pittsburgh,PA,40.49146583,-80.23287083
PNS,1988,1,-9.0,1,Pensacola Regional,Pensacola,FL,30.47330556,-87.18744444
PSP,1988,1,6.0,2,Palm Springs International,Palm Springs,CA,33.82921556,-116.5062531
PVD,1988,1,6.0,2,Theodore F Green State,Providence,RI,41.72399917,-71.42822111
RAP,1988,1,7.0,1,Rapid City Regional,Rapid City,SD,44.04532139,-103.0573708
RDU,1988,1,14.5,6,Raleigh-Durham International,Raleigh,NC,35.87763889,-78.78747222
RIC,1988,1,12.0,1,Richmond International,Richmond,VA,37.50516667,-77.31966667
RNO,1988,1,11.0,1,Reno/Tahoe International,Reno,NV,39.49857611,-119.7680647
ROC,1988,1,0.0,2,Greater Rochester Int'l,Rochester,NY,43.11886611,-77.67238389
RSW,1988,1,23.0,1,Southwest Florida International,Ft. Myers,FL,26.53616667,-81.75516667
SAN,1988,1,9.8,5,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-117.1896567
SAT,1988,1,3.0,1,San Antonio International,San Antonio,TX,29.53369444,-98.46977778
SDF,1988,1,2.8,5,Louisville International-Standiford ,Louisville,KY,38.17438889,-85.736
SEA,1988,1,16.4444444444,9,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131
SFO,1988,1,10.4285714286,14,San Francisco International,San Francisco,CA,37.61900194,-122.3748433
SGF,1988,1,14.0,1,Springfield-Branson Regional,Springfield,MO,37.24432611,-93.38685806
SHV,1988,1,-10.6666666667,3,Shreveport Regional,Shreveport,LA,32.4466275,-93.82559833
SJC,1988,1,2.75,4,San Jose International,San Jose,CA,37.36186194,-121.9290089
SLC,1988,1,16.7142857143,7,Salt Lake City Intl,Salt Lake City,UT,40.78838778,-111.9777731
SNA,1988,1,5.0,1,John Wayne /Orange Co,Santa Ana,CA,33.67565861,-117.8682225
SRQ,1988,1,2.0,1,Sarasota Bradenton International,Sarasota,FL,27.39533333,-82.55411111
STL,1988,1,4.45454545455,11,Lambert-St Louis International,St Louis,MO,38.74768694,-90.35998972
SYR,1988,1,-1.0,2,Syracuse-Hancock Intl,Syracuse,NY,43.11118694,-76.10631056
TLH,1988,1,0.0,1,Tallahassee Regional,Tallahassee,FL,30.39652778,-84.35033333
TPA,1988,1,4.25,4,Tampa International ,Tampa,FL,27.97547222,-82.53325
TUL,1988,1,13.75,4,Tulsa International,Tulsa,OK,36.19837222,-95.88824167
TUS,1988,1,1.0,1,Tucson International,Tucson,AZ,32.11608333,-110.9410278
ABE,1989,1,6.0,1,Lehigh Valley International,Allentown,PA,40.65236278,-75.44040167
ABQ,1989,1,5.33333333333,3,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ALB,1989,1,-2.66666666667,3,Albany Cty,Albany,NY,42.74811944,-73.80297861
ATL,1989,1,5.90476190476,21,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AUS,1989,1,11.0,4,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
BDL,1989,1,18.0,1,Bradley International,Windsor Locks,CT,41.93887417,-72.68322833
BHM,1989,1,10.3333333333,3,Birmingham International,Birmingham,AL,33.56294306,-86.75354972
BIL,1989,1,-14.5,2,Billings Logan Intl,Billings,MT,45.8076625,-108.5428611
BIS,1989,1,1.0,1,Bismarck Municipal,Bismarck,ND,46.77411111,-100.7467222
BNA,1989,1,22.8571428571,7,Nashville International,Nashville,TN,36.12447667,-86.67818222
BOI,1989,1,5.0,1,Boise Air Terminal,Boise,ID,43.56444444,-116.2227778
BOS,1989,1,9.28571428571,7,Gen Edw L Logan Intl,Boston,MA,42.3643475,-71.00517917
BUF,1989,1,-2.0,2,Buffalo Niagara Intl,Buffalo,NY,42.94052472,-78.73216667
BUR,1989,1,-2.4,5,Burbank-Glendale-Pasadena,Burbank,CA,34.20061917,-118.3584969
BWI,1989,1,-0.4,5,Baltimore-Washington International,Baltimore,MD,39.17540167,-76.66819833
BZN,1989,1,5.0,2,Gallatin ,Bozeman,MT,45.77690139,-111.1530072
CAE,1989,1,-7.0,2,Columbia Metropolitan,Columbia,SC,33.93884,-81.11953944
CHS,1989,1,2.0,1,Charleston AFB/International,Charleston,SC,32.89864639,-80.04050583
CLE,1989,1,7.0,3,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-81.84939667
CLT,1989,1,10.8,10,Charlotte/Douglas International,Charlotte,NC,35.21401111,-80.94312583
CMH,1989,1,-7.0,1,Port Columbus Intl,Columbus,OH,39.99798528,-82.89188278
CRW,1989,1,8.0,1,Yeager,Charleston,WV,38.37315083,-81.59318972
CVG,1989,1,2.16666666667,6,Cincinnati Northern Kentucky Intl,Covington,KY,39.04614278,-84.6621725
DAL,1989,1,-5.0,1,Dallas Love ,Dallas,TX,32.84711389,-96.85177222
DAY,1989,1,4.66666666667,3,James M Cox Dayton Intl,Dayton,OH,39.90237583,-84.219375
DCA,1989,1,5.66666666667,9,Ronald Reagan Washington National,Arlington,VA,38.85208333,-77.03772222
DEN,1989,1,8.5,12,Denver Intl,Denver,CO,39.85840806,-104.6670019
DFW,1989,1,16.125,24,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
DSM,1989,1,0.0,2,Des Moines International,Des Moines,IA,41.53493306,-93.66068222
DTW,1989,1,8.0,10,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583
ELP,1989,1,8.25,4,El Paso International,El Paso,TX,31.80666667,-106.3778056
EUG,1989,1,-1.0,1,Mahlon Sweet ,Eugene,OR,44.12326,-123.2186856
EWR,1989,1,-3.9,10,Newark Intl,Newark,NJ,40.69249722,-74.16866056
FAT,1989,1,1.0,1,Fresno Yosemite International,Fresno,CA,36.77619444,-119.7181389
FAY,1989,1,3.0,1,Fayetteville Municipal,Fayetteville,NC,34.99147222,-78.88
FLL,1989,1,3.33333333333,3,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-80.15275
FWA,1989,1,9.5,2,Fort Wayne International,Fort Wayne,IN,40.97846583,-85.19514639
GEG,1989,1,6.0,2,Spokane Intl,Spokane,WA,47.61985556,-117.5338425
GRB,1989,1,3.0,1,Austin Straubel International,Green Bay,WI,44.48507333,-88.12959
GSO,1989,1,2.2,5,Piedmont Triad International,Greensboro,NC,36.09774694,-79.9372975
HOU,1989,1,-1.33333333333,6,William P Hobby,Houston,TX,29.64541861,-95.27888889
HRL,1989,1,17.5,2,Valley International,Harlingen,TX,26.22850611,-97.65439389
IAD,1989,1,8.5,6,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
IAH,1989,1,0.857142857143,7,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
ICT,1989,1,5.0,2,Wichita Mid-Continent,Wichita,KS,37.64995889,-97.43304583
IND,1989,1,4.0,2,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
ISP,1989,1,-5.0,1,Long Island - MacArthur,Islip,NY,40.7952425,-73.10021194
JAN,1989,1,-2.0,1,Jackson International,Jackson,MS,32.31116667,-90.07588889
JAX,1989,1,45.5,2,Jacksonville International,Jacksonville,FL,30.49405556,-81.68786111
JFK,1989,1,23.8,5,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,1989,1,5.66666666667,6,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,1989,1,-4.21428571429,14,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LBB,1989,1,8.0,1,Lubbock International,Lubbock,TX,33.66363889,-101.8227778
LGA,1989,1,10.2222222222,9,LaGuardia,New York,NY,40.77724306,-73.87260917
LIT,1989,1,-2.0,1,Adams ,Little Rock,AR,34.72939611,-92.22424556
LNK,1989,1,60.0,1,Lincoln Municipal,Lincoln,NE,40.85097222,-96.75925
MCI,1989,1,18.4,5,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,1989,1,14.0,7,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDW,1989,1,3.5,2,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEM,1989,1,2.0,11,Memphis International,Memphis,TN,35.04241667,-89.97666667
MFE,1989,1,29.0,1,McAllen Miller International,McAllen,TX,26.17583333,-98.23861111
MIA,1989,1,35.8888888889,9,Miami International,Miami,FL,25.79325,-80.29055556
MKE,1989,1,4.0,1,General Mitchell International,Milwaukee,WI,42.94722222,-87.89658333
MLI,1989,1,3.0,3,Quad City,Moline,IL,41.44852639,-90.50753917
MOT,1989,1,6.0,1,Minot International,Minot,ND,48.25937778,-101.2803339
MSP,1989,1,4.5,14,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
MSY,1989,1,2.4,5,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778
OAK,1989,1,16.0,3,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.2207167
OKC,1989,1,-4.25,4,Will Rogers World,Oklahoma City,OK,35.39308833,-97.60073389
OMA,1989,1,-4.0,1,Eppley Airfield,Omaha,NE,41.30251861,-95.89417306
ONT,1989,1,7.75,4,Ontario International,Ontario,CA,34.056,-117.6011944
ORD,1989,1,9.21739130435,23,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417
ORF,1989,1,3.0,1,Norfolk International,Norfolk,VA,36.89461111,-76.20122222
PBI,1989,1,5.0,1,Palm Beach International,West Palm Beach,FL,26.68316194,-80.09559417
PDX,1989,1,5.0,1,Portland Intl,Portland,OR,45.58872222,-122.5975
PHL,1989,1,4.125,8,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083
PHX,1989,1,2.88235294118,17,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556
PIA,1989,1,-5.0,1,Greater Peoria Regional,Peoria,IL,40.66424333,-89.69330556
PIT,1989,1,9.77777777778,9,Pittsburgh International,Pittsburgh,PA,40.49146583,-80.23287083
PSP,1989,1,36.0,1,Palm Springs International,Palm Springs,CA,33.82921556,-116.5062531
RDU,1989,1,10.2,5,Raleigh-Durham International,Raleigh,NC,35.87763889,-78.78747222
RIC,1989,1,-6.0,2,Richmond International,Richmond,VA,37.50516667,-77.31966667
RNO,1989,1,1.5,2,Reno/Tahoe International,Reno,NV,39.49857611,-119.7680647
ROA,1989,1,2.33333333333,3,Roanoke Regional/ Woodrum ,Roanoke,VA,37.32546833,-79.97542833
ROC,1989,1,0.0,5,Greater Rochester Int'l,Rochester,NY,43.11886611,-77.67238389
RSW,1989,1,-8.0,1,Southwest Florida International,Ft. Myers,FL,26.53616667,-81.75516667
SAN,1989,1,-8.8,5,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-117.1896567
SAT,1989,1,0.4,5,San Antonio International,San Antonio,TX,29.53369444,-98.46977778
SAV,1989,1,-12.0,1,Savannah International,Savannah,GA,32.12758333,-81.20213889
SDF,1989,1,-4.5,2,Louisville International-Standiford ,Louisville,KY,38.17438889,-85.736
SEA,1989,1,24.25,8,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131
SFO,1989,1,4.14285714286,7,San Francisco International,San Francisco,CA,37.61900194,-122.3748433
SJC,1989,1,38.3333333333,6,San Jose International,San Jose,CA,37.36186194,-121.9290089
SLC,1989,1,-3.66666666667,3,Salt Lake City Intl,Salt Lake City,UT,40.78838778,-111.9777731
SMF,1989,1,1.5,2,Sacramento International,Sacramento,CA,38.69542167,-121.5907669
SNA,1989,1,9.0,4,John Wayne /Orange Co,Santa Ana,CA,33.67565861,-117.8682225
STL,1989,1,1.375,16,Lambert-St Louis International,St Louis,MO,38.74768694,-90.35998972
SYR,1989,1,-14.0,1,Syracuse-Hancock Intl,Syracuse,NY,43.11118694,-76.10631056
TPA,1989,1,-8.6,5,Tampa International ,Tampa,FL,27.97547222,-82.53325
TUL,1989,1,-6.5,2,Tulsa International,Tulsa,OK,36.19837222,-95.88824167
TUS,1989,1,-3.0,2,Tucson International,Tucson,AZ,32.11608333,-110.9410278
TYS,1989,1,70.0,1,McGhee-Tyson,Knoxville,TN,35.81248722,-83.99285583
ABQ,1990,1,-8.0,4,Albuquerque International,Albuquerque,NM,35.04022222,-106.6091944
ALB,1990,1,-26.0,1,Albany Cty,Albany,NY,42.74811944,-73.80297861
ATL,1990,1,12.4166666667,24,William B Hartsfield-Atlanta Intl,Atlanta,GA,33.64044444,-84.42694444
AUS,1990,1,-6.0,2,Austin-Bergstrom International,Austin,TX,30.19453278,-97.66987194
AVP,1990,1,10.0,1,Wilkes-Barre/Scranton Intl,Wilkes-Barre/Scranton,PA,41.33814944,-75.7242675
BDL,1990,1,-6.0,2,Bradley International,Windsor Locks,CT,41.93887417,-72.68322833
BHM,1990,1,-9.0,1,Birmingham International,Birmingham,AL,33.56294306,-86.75354972
BIL,1990,1,-7.0,1,Billings Logan Intl,Billings,MT,45.8076625,-108.5428611
BIS,1990,1,-8.5,2,Bismarck Municipal,Bismarck,ND,46.77411111,-100.7467222
BLI,1990,1,7.0,1,Bellingham Intl,Bellingham,WA,48.79275,-122.5375278
BNA,1990,1,-5.2,5,Nashville International,Nashville,TN,36.12447667,-86.67818222
BOS,1990,1,0.8,5,Gen Edw L Logan Intl,Boston,MA,42.3643475,-71.00517917
BTR,1990,1,12.0,1,"Baton Rouge Metropolitan, Ryan ",Baton Rouge,LA,30.53316083,-91.14963444
BTV,1990,1,-15.0,1,Burlington International,Burlington,VT,44.47300361,-73.1503125
BUF,1990,1,51.0,1,Buffalo Niagara Intl,Buffalo,NY,42.94052472,-78.73216667
BUR,1990,1,-3.0,1,Burbank-Glendale-Pasadena,Burbank,CA,34.20061917,-118.3584969
BWI,1990,1,3.2,5,Baltimore-Washington International,Baltimore,MD,39.17540167,-76.66819833
BZN,1990,1,-2.0,1,Gallatin ,Bozeman,MT,45.77690139,-111.1530072
CAE,1990,1,-4.0,1,Columbia Metropolitan,Columbia,SC,33.93884,-81.11953944
CHS,1990,1,2.0,1,Charleston AFB/International,Charleston,SC,32.89864639,-80.04050583
CLE,1990,1,-3.66666666667,6,Cleveland-Hopkins Intl,Cleveland,OH,41.41089417,-81.84939667
CLT,1990,1,8.75,8,Charlotte/Douglas International,Charlotte,NC,35.21401111,-80.94312583
CMH,1990,1,4.0,1,Port Columbus Intl,Columbus,OH,39.99798528,-82.89188278
CRP,1990,1,2.0,1,Corpus Christi International,Corpus Christi,TX,27.77036083,-97.50121528
CVG,1990,1,13.25,4,Cincinnati Northern Kentucky Intl,Covington,KY,39.04614278,-84.6621725
DAL,1990,1,25.0,1,Dallas Love ,Dallas,TX,32.84711389,-96.85177222
DAY,1990,1,0.5,2,James M Cox Dayton Intl,Dayton,OH,39.90237583,-84.219375
DCA,1990,1,28.4,5,Ronald Reagan Washington National,Arlington,VA,38.85208333,-77.03772222
DEN,1990,1,-0.2,10,Denver Intl,Denver,CO,39.85840806,-104.6670019
DFW,1990,1,-0.538461538462,13,Dallas-Fort Worth International,Dallas-Fort Worth,TX,32.89595056,-97.0372
DTW,1990,1,3.0,7,Detroit Metropolitan-Wayne County,Detroit,MI,42.21205889,-83.34883583
ELP,1990,1,5.5,2,El Paso International,El Paso,TX,31.80666667,-106.3778056
EWR,1990,1,16.3,10,Newark Intl,Newark,NJ,40.69249722,-74.16866056
FAT,1990,1,49.0,1,Fresno Yosemite International,Fresno,CA,36.77619444,-119.7181389
FLL,1990,1,5.0,4,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,26.07258333,-80.15275
FSD,1990,1,-16.0,1,Joe Foss ,Sioux Falls,SD,43.58135111,-96.74170028
GEG,1990,1,13.5,2,Spokane Intl,Spokane,WA,47.61985556,-117.5338425
GRR,1990,1,-10.0,1,Kent County International,Grand Rapids,MI,42.88081972,-85.52276778
GSO,1990,1,-5.0,1,Piedmont Triad International,Greensboro,NC,36.09774694,-79.9372975
GSP,1990,1,-8.0,1,Greenville-Spartanburg,Greer,SC,34.89566722,-82.21885833
GUC,1990,1,21.0,1,Gunnison County,Gunnison,CO,38.53396333,-106.9331817
HLN,1990,1,8.0,1,Helena Regional,Helena,MT,46.60681806,-111.9827503
HOU,1990,1,0.2,5,William P Hobby,Houston,TX,29.64541861,-95.27888889
HPN,1990,1,168.0,1,Westchester Cty,White Plains,NY,41.06695778,-73.70757444
HRL,1990,1,3.0,1,Valley International,Harlingen,TX,26.22850611,-97.65439389
HSV,1990,1,-16.0,1,Huntsville International ,Huntsville,AL,34.6404475,-86.77310944
IAD,1990,1,-1.25,4,Washington Dulles International,Chantilly,VA,38.94453194,-77.45580972
IAH,1990,1,8.64285714286,14,George Bush Intercontinental,Houston,TX,29.98047222,-95.33972222
IDA,1990,1,14.0,2,Idaho Falls Regional,Idaho Falls,ID,43.51455556,-112.0701667
IND,1990,1,-10.0,2,Indianapolis International,Indianapolis,IN,39.71732917,-86.29438417
JAN,1990,1,-7.0,1,Jackson International,Jackson,MS,32.31116667,-90.07588889
JAX,1990,1,1.66666666667,3,Jacksonville International,Jacksonville,FL,30.49405556,-81.68786111
JFK,1990,1,-6.5,4,John F Kennedy Intl,New York,NY,40.63975111,-73.77892556
LAS,1990,1,-0.875,8,McCarran International,Las Vegas,NV,36.08036111,-115.1523333
LAX,1990,1,4.8,15,Los Angeles International,Los Angeles,CA,33.94253611,-118.4080744
LGA,1990,1,-2.0,12,LaGuardia,New York,NY,40.77724306,-73.87260917
LGB,1990,1,-4.0,2,Long Beach (Daugherty ),Long Beach,CA,33.81772222,-118.1516111
LNK,1990,1,-2.0,2,Lincoln Municipal,Lincoln,NE,40.85097222,-96.75925
MCI,1990,1,-1.66666666667,6,Kansas City International,Kansas City,MO,39.29760528,-94.71390556
MCO,1990,1,-3.0,5,Orlando International,Orlando,FL,28.42888889,-81.31602778
MDW,1990,1,-2.0,1,Chicago Midway,Chicago,IL,41.7859825,-87.75242444
MEM,1990,1,10.4,5,Memphis International,Memphis,TN,35.04241667,-89.97666667
MIA,1990,1,12.0,7,Miami International,Miami,FL,25.79325,-80.29055556
MKE,1990,1,-15.5,2,General Mitchell International,Milwaukee,WI,42.94722222,-87.89658333
MLB,1990,1,-5.33333333333,3,Melbourne International ,Melbourne,FL,28.10275,-80.64580556
MSN,1990,1,0.0,1,Dane County Regional,Madison,WI,43.13985778,-89.33751361
MSP,1990,1,11.6,10,Minneapolis-St Paul Intl,Minneapolis,MN,44.88054694,-93.2169225
MSY,1990,1,11.3333333333,3,New Orleans International ,New Orleans,LA,29.99338889,-90.25802778
OAK,1990,1,6.0,2,Metropolitan Oakland International,Oakland,CA,37.72129083,-122.2207167
OKC,1990,1,5.0,4,Will Rogers World,Oklahoma City,OK,35.39308833,-97.60073389
OMA,1990,1,4.0,1,Eppley Airfield,Omaha,NE,41.30251861,-95.89417306
ONT,1990,1,-9.5,2,Ontario International,Ontario,CA,34.056,-117.6011944
ORD,1990,1,14.6315789474,19,Chicago O'Hare International,Chicago,IL,41.979595,-87.90446417
ORF,1990,1,22.0,1,Norfolk International,Norfolk,VA,36.89461111,-76.20122222
PBI,1990,1,-13.0,2,Palm Beach International,West Palm Beach,FL,26.68316194,-80.09559417
PDX,1990,1,-4.33333333333,3,Portland Intl,Portland,OR,45.58872222,-122.5975
PHL,1990,1,12.0,11,Philadelphia Intl,Philadelphia,PA,39.87195278,-75.24114083
PHX,1990,1,7.0,10,Phoenix Sky Harbor International,Phoenix,AZ,33.43416667,-112.0080556
PIT,1990,1,14.7272727273,11,Pittsburgh International,Pittsburgh,PA,40.49146583,-80.23287083
PSP,1990,1,-5.0,1,Palm Springs International,Palm Springs,CA,33.82921556,-116.5062531
PVD,1990,1,-5.0,1,Theodore F Green State,Providence,RI,41.72399917,-71.42822111
RDU,1990,1,8.85714285714,7,Raleigh-Durham International,Raleigh,NC,35.87763889,-78.78747222
RIC,1990,1,21.0,2,Richmond International,Richmond,VA,37.50516667,-77.31966667
ROA,1990,1,6.0,1,Roanoke Regional/ Woodrum ,Roanoke,VA,37.32546833,-79.97542833
SAN,1990,1,6.16666666667,6,San Diego International-Lindbergh ,San Diego,CA,32.73355611,-117.1896567
SAT,1990,1,9.5,2,San Antonio International,San Antonio,TX,29.53369444,-98.46977778
SBN,1990,1,-8.0,1,South Bend Regional,South Bend,IN,41.70895361,-86.31847417
SDF,1990,1,3.0,3,Louisville International-Standiford ,Louisville,KY,38.17438889,-85.736
SEA,1990,1,7.8,5,Seattle-Tacoma Intl,Seattle,WA,47.44898194,-122.3093131
SFO,1990,1,5.0,9,San Francisco International,San Francisco,CA,37.61900194,-122.3748433
SHV,1990,1,-10.0,1,Shreveport Regional,Shreveport,LA,32.4466275,-93.82559833
